2017Onwards,Date,English name,Power,Frequency,Vocalization type,X,Y
False,7/21/2005,Rose-crested Blue Pipit,-134.936849589,4.613240095,call,127,117
False,1/15/2013,Rose-crested Blue Pipit,-150.077294134,1.571163961,call,140,149
False,1/15/2013,Rose-crested Blue Pipit,-140.450574531,0.520612571,call,152,154
False,1/15/2013,Rose-crested Blue Pipit,-128.461056294,0.586676767,call,127,113
False,10/22/2012,Rose-crested Blue Pipit,-139.392600407,0.88638812,call,129,112
False,5/29/2012,Rose-crested Blue Pipit,-122.149346431,5.402463874,song,146,111
False,6/29/2012,Rose-crested Blue Pipit,-146.28979383,4.299062273,call,149,151
False,6/16/2012,Rose-crested Blue Pipit,-144.209628003,3.93350701,song,127,118
False,4/28/1996,Rose-crested Blue Pipit,-124.874161768,2.615704206,song,147,154
False,2/28/2010,Rose-crested Blue Pipit,-131.427990388,5.204213958,call,149,154
False,2/28/2010,Rose-crested Blue Pipit,-139.090383618,5.243849321,call,150,160
False,10/12/2009,Rose-crested Blue Pipit,-124.21917708,5.665264949,call,137,99
False,9/30/2008,Rose-crested Blue Pipit,-123.208825786,4.787329253,call,142,164
False,2/22/2009,Rose-crested Blue Pipit,-125.031235969,4.092368208,song,125,121
False,7/1/2007,Rose-crested Blue Pipit,-121.304577627,5.127084908,song,127,167
False,4/7/2007,Rose-crested Blue Pipit,-132.827165232,4.665323144,song,166,153
True,9/18/2017,Rose-crested Blue Pipit,-126.141810541,5.268114218,call,125,104
True,9/18/2017,Rose-crested Blue Pipit,-126.621039217,5.482516424,call,130,107
False,5/13/2015,Rose-crested Blue Pipit,-144.15069944,0.9742215,song,128,121
True,8/18/2017,Rose-crested Blue Pipit,-124.838439347,5.136433435,call,130,108
True,7/1/2017,Rose-crested Blue Pipit,-135.946044855,5.118106385,song,75,103
False,4/25/2015,Rose-crested Blue Pipit,-122.029912247,4.867675781,call,158,105
True,2/5/2017,Rose-crested Blue Pipit,-132.801345877,4.712584225,call,144,110
False,12/28/2016,Rose-crested Blue Pipit,-133.344982896,5.263902427,call,170,110
False,8/10/2015,Rose-crested Blue Pipit,-136.856469624,0.714729985,call,124,117
False,10/24/2015,Rose-crested Blue Pipit,-139.243861124,0.504852222,call,143,106
False,1/3/2016,Rose-crested Blue Pipit,-152.093631393,1.569432882,call,149,117
False,1/3/2016,Rose-crested Blue Pipit,-152.478613988,1.618605496,call,128,118
False,3/31/2015,Rose-crested Blue Pipit,-148.040196387,0.511856045,call,157,124
False,12/25/2015,Rose-crested Blue Pipit,-154.012506336,4.192437793,call,110,120
False,12/25/2015,Rose-crested Blue Pipit,-146.286942145,0.715487475,call,154,127
False,12/25/2015,Rose-crested Blue Pipit,-144.898280724,5.122752269,call,85,134
False,12/25/2015,Rose-crested Blue Pipit,-150.16808912,0.715822074,call,150,110
False,12/25/2015,Rose-crested Blue Pipit,-145.50948512,0.716250233,call,153,113
False,8/10/2015,Rose-crested Blue Pipit,-130.71965847,0.715720004,call,152,121
False,8/10/2015,Rose-crested Blue Pipit,-141.335691336,1.072949117,call,26,133
False,8/9/2015,Rose-crested Blue Pipit,-144.12111742,0.715173636,song,47,58
False,1/3/2016,Rose-crested Blue Pipit,-152.771366453,4.9097664,call,62,67
False,5/26/2007,Rose-crested Blue Pipit,-116.742477716,4.581685043,song,139,148
False,6/1/2015,Rose-crested Blue Pipit,-117.831596177,4.217128047,song,147,119
False,11/13/2016,Rose-crested Blue Pipit,-146.456285216,4.939242815,call,116,132
False,11/11/2016,Rose-crested Blue Pipit,-124.58928878,0.59044649,call,136,130
False,10/23/2016,Rose-crested Blue Pipit,-140.200204687,4.798629671,call,149,118
False,10/23/2016,Rose-crested Blue Pipit,-130.733116585,5.49786352,call,149,111
False,6/9/2016,Rose-crested Blue Pipit,-118.457269496,4.653887987,song,150,120
False,4/14/2016,Rose-crested Blue Pipit,-152.340984551,2.737313732,song,119,121
False,4/28/2016,Rose-crested Blue Pipit,-151.023873368,4.538583427,song,128,116
False,4/24/2016,Rose-crested Blue Pipit,-149.109282244,0.556893505,song,130,122
False,4/14/2016,Rose-crested Blue Pipit,-144.309127826,2.963883167,call,133,120
False,4/19/2016,Rose-crested Blue Pipit,-123.718297794,5.249898182,call,71,93
False,4/19/2016,Rose-crested Blue Pipit,-129.499073041,5.447778658,call,125,117
False,3/6/2016,Rose-crested Blue Pipit,-134.977099784,5.294724862,song,159,129
False,3/6/2016,Rose-crested Blue Pipit,-141.66934787,0.722626081,call,111,115
False,2/28/2016,Rose-crested Blue Pipit,-130.182600943,4.850173125,song,121,116
False,2/20/2016,Rose-crested Blue Pipit,-154.233552986,1.380104071,song,71,138
False,6/5/2015,Rose-crested Blue Pipit,-142.064947899,4.987252204,"call, song",109,114
False,6/5/2015,Rose-crested Blue Pipit,-132.653703438,5.052794958,call,45,64
False,11/23/2015,Rose-crested Blue Pipit,-140.852178804,5.406393059,call,152,119
False,5/16/2015,Rose-crested Blue Pipit,-142.393494304,5.215501401,call,134,123
False,5/16/2015,Rose-crested Blue Pipit,-156.363521208,4.747107613,call,137,109
False,5/26/2015,Rose-crested Blue Pipit,-138.48542446,5.429957699,call,66,81
False,5/3/2015,Rose-crested Blue Pipit,-135.924297485,5.35490797,song,123,129
False,7/18/2015,Rose-crested Blue Pipit,-134.40999154,5.468282227,call,147,121
False,2/11/2015,Rose-crested Blue Pipit,-139.61561125,4.647851178,call,137,138
False,3/10/2015,Rose-crested Blue Pipit,-143.491298464,5.565190976,call,115,129
False,3/15/2015,Rose-crested Blue Pipit,-143.024583963,5.389203275,song,130,114
False,3/15/2015,Rose-crested Blue Pipit,-133.580742302,5.414018262,song,120,118
False,1/30/2010,Rose-crested Blue Pipit,-135.712150103,6.019551948,call,126,109
False,4/19/2009,Rose-crested Blue Pipit,-137.893261585,5.433428822,"call, song",136,166
False,10/25/2014,Rose-crested Blue Pipit,-131.710256833,5.30566205,call,41,123
False,7/6/2014,Rose-crested Blue Pipit,-120.216045277,1.093022428,song,125,110
False,7/3/2014,Rose-crested Blue Pipit,-127.36140767,1.093963736,song,135,106
False,7/2/2014,Rose-crested Blue Pipit,-122.337678953,1.09555028,song,136,126
False,7/2/2014,Rose-crested Blue Pipit,-124.228153308,4.498500844,call,148,147
False,7/2/2014,Rose-crested Blue Pipit,-126.867642135,5.305564801,call,127,116
False,7/2/2014,Rose-crested Blue Pipit,-131.537634416,1.095354814,call,148,159
False,4/29/2014,Rose-crested Blue Pipit,-142.014321528,0.6531136,call,128,119
False,5/8/2013,Rose-crested Blue Pipit,-140.33115711,0.773123576,song,138,150
False,5/28/2010,Rose-crested Blue Pipit,-139.201076689,5.083217344,song,148,151
False,1/12/2014,Rose-crested Blue Pipit,-126.83497149,5.602196503,call,148,156
False,1/12/2014,Rose-crested Blue Pipit,-121.810993551,1.486367326,call,142,150
False,5/3/1993,Rose-crested Blue Pipit,-134.878349175,4.562242798,song,152,153
False,1/11/2014,Rose-crested Blue Pipit,-138.458985569,5.420320536,call,147,155
False,4/30/2012,Rose-crested Blue Pipit,-121.411803517,5.034616704,call,140,112
False,5/26/2013,Rose-crested Blue Pipit,-120.433809573,4.995820701,call,135,158
False,5/25/2013,Rose-crested Blue Pipit,-112.559119554,5.016388748,call,135,119
False,12/18/2013,Rose-crested Blue Pipit,-123.052346647,0.578758933,call,164,173
False,6/9/2013,Rose-crested Blue Pipit,-79.904372879,4.47025086,song,146,158
False,5/6/2013,Rose-crested Blue Pipit,-136.606952072,0.750437104,song,118,111
False,2/4/2013,Rose-crested Blue Pipit,-125.188855838,0.561671015,call,62,153
False,2/4/2013,Rose-crested Blue Pipit,-131.377429605,6.275117562,call,146,155
False,10/6/2012,Rose-crested Blue Pipit,-136.107835292,4.46834875,call,113,110
False,10/22/2012,Rose-crested Blue Pipit,-139.199581115,0.889434394,call,109,121
False,4/23/2010,Rose-crested Blue Pipit,-129.722845981,4.225203373,song,149,156
False,4/23/2010,Rose-crested Blue Pipit,-126.372636191,5.516103684,song,132,46
False,5/14/2011,Rose-crested Blue Pipit,-126.152689085,4.689806105,song,146,156
False,6/7/2005,Rose-crested Blue Pipit,-130.429846248,5.364413432,call,128,120
False,6/14/2010,Rose-crested Blue Pipit,-138.23160072,4.529283854,song,146,154
False,4/25/2010,Rose-crested Blue Pipit,-124.565193758,5.588416174,call,140,115
False,4/20/2010,Rose-crested Blue Pipit,-132.035129348,4.060264697,song,125,118
False,2/4/2010,Rose-crested Blue Pipit,-127.649509527,5.335595575,call,134,152
False,10/12/2009,Rose-crested Blue Pipit,-120.508863692,5.234435196,call,145,151
False,5/23/2009,Rose-crested Blue Pipit,-128.305345162,4.291503493,song,143,112
False,5/7/2007,Rose-crested Blue Pipit,-119.607965983,0.996624709,song,149,150
False,2/27/2007,Rose-crested Blue Pipit,-139.221560439,0.50590177,song,155,154
False,2/2/2007,Rose-crested Blue Pipit,-112.908626484,0.668489796,call,153,158
False,6/20/1991,Rose-crested Blue Pipit,-122.279096041,3.981703704,song,136,160
True,6/7/2017,Rose-crested Blue Pipit,-149.364814767,4.467660097,song,147,113
True,11/23/2017,Rose-crested Blue Pipit,-123.656421895,0.687299113,call,137,111
True,6/22/2017,Rose-crested Blue Pipit,-127.663424226,0.771887887,call,131,119
True,4/4/2017,Rose-crested Blue Pipit,-154.078291203,5.822071826,call,139,114
False,12/11/2015,Rose-crested Blue Pipit,-147.967359737,4.451370718,call,129,117
False,12/12/2015,Rose-crested Blue Pipit,-117.634603179,0.718126398,call,113,114
False,3/19/2015,Rose-crested Blue Pipit,-114.880661307,1.780485981,song,120,111
False,4/7/2015,Rose-crested Blue Pipit,-139.270868231,3.942197795,song,134,116
False,5/3/2015,Rose-crested Blue Pipit,-147.222808968,0.542353066,song,128,117
False,2/15/2007,Rose-crested Blue Pipit,-135.405741568,4.867048956,song,147,157
False,6/11/2000,Rose-crested Blue Pipit,-129.530238111,5.058345756,song,148,154
False,4/18/2003,Rose-crested Blue Pipit,-134.837949192,2.922907352,song,144,178
False,4/5/1998,Rose-crested Blue Pipit,-124.520345269,5.455078125,song,125,116
False,5/24/2014,Rose-crested Blue Pipit,-116.065337052,5.210423107,song,133,109
False,4/29/2014,Rose-crested Blue Pipit,-155.983746988,7.399982993,call,131,125
False,9/9/2011,Rose-crested Blue Pipit,-135.253040051,1.085121485,call,125,122
False,12/28/2013,Rose-crested Blue Pipit,-120.819716294,5.348624379,song,130,120
False,5/4/2013,Rose-crested Blue Pipit,-128.349737868,1.343786516,song,147,154
False,10/13/2013,Rose-crested Blue Pipit,-134.86178557,0.541222477,call,161,141
False,5/24/2013,Rose-crested Blue Pipit,-137.67564233,4.699713733,song,145,154
False,3/17/2013,Rose-crested Blue Pipit,-134.452984076,1.112127077,song,151,166
False,10/22/2012,Rose-crested Blue Pipit,-136.265142242,0.530997443,call,127,117
False,12/1/2011,Rose-crested Blue Pipit,-121.142516949,0.5733,song,80,125
False,12/1/2011,Rose-crested Blue Pipit,-117.077560593,0.585190711,call,132,150
False,10/9/2010,Rose-crested Blue Pipit,-120.700656952,0.515143556,call,138,161
False,6/25/2010,Rose-crested Blue Pipit,-132.001473342,5.922516771,song,135,120
True,4/23/2017,Rose-crested Blue Pipit,-157.245209386,8.088109504,"call, song",109,134
False,6/23/2016,Rose-crested Blue Pipit,-153.067440386,4.284359015,song,140,114
False,4/13/2014,Rose-crested Blue Pipit,-143.73007724,0.9902848,song,130,139
False,5/6/2007,Rose-crested Blue Pipit,-110.998391059,15.639886578,song,122,129
False,12/22/2007,Rose-crested Blue Pipit,-131.700186249,0.532480809,song,104,123
False,3/8/2016,Rose-crested Blue Pipit,-144.227331126,2.376350232,song,104,124
False,8/21/2016,Blue-collared Zipper,-120.555045966,5.550381155,call,46,62
False,8/31/2011,Blue-collared Zipper,-131.243835651,0.614265928,call,24,139
False,9/26/2010,Blue-collared Zipper,-111.337309812,3.996786389,call,46,62
True,2/3/2017,Blue-collared Zipper,-125.68561811,5.083346828,call,60,71
False,12/21/2013,Blue-collared Zipper,-132.842219109,6.275754887,"call, song",44,63
False,2/22/2016,Blue-collared Zipper,-128.926974613,5.084931732,song,152,34
False,3/15/2010,Blue-collared Zipper,-122.550774139,4.858573388,call,60,76
False,3/4/1998,Blue-collared Zipper,-120.824146152,4.4396875,call,43,74
,,Blue-collared Zipper,-119.839633011,3.901760461,call,43,67
False,11/29/1990,Blue-collared Zipper,-117.3103653,0.505394554,call,47,64
False,2/22/1996,Blue-collared Zipper,-120.155849978,0.505092888,call,147,153
False,12/19/1991,Blue-collared Zipper,-108.291485822,4.161058601,call,44,66
False,12/11/1990,Blue-collared Zipper,-122.839116446,3.617459274,call,68,151
False,11/15/1992,Blue-collared Zipper,-127.909311151,3.487964429,call,49,61
False,4/16/2003,Blue-collared Zipper,-120.69006616,5.007134397,call,32,135
False,7/31/2014,Blue-collared Zipper,-145.850003184,4.974282143,call,84,138
False,5/24/2014,Blue-collared Zipper,-147.301504608,5.201253122,call,31,136
False,1/22/2014,Blue-collared Zipper,-135.935365096,0.503213038,"call, song",137,36
False,10/4/2012,Blue-collared Zipper,-114.143427198,4.683521522,call,150,144
False,3/28/2005,Blue-collared Zipper,-122.171252953,3.612183999,song,46,64
False,6/10/2004,Blue-collared Zipper,-113.636105854,5.326990734,call,64,147
False,3/25/2005,Blue-collared Zipper,-113.817753656,5.94815843,song,47,64
False,6/6/1996,Blue-collared Zipper,-131.52374968,4.62810173,call,32,138
False,1/2/2010,Blue-collared Zipper,-128.116462402,5.579222553,call,45,65
False,3/14/2003,Blue-collared Zipper,-126.103966526,3.380563277,call,84,140
False,11/27/2004,Blue-collared Zipper,-127.955393227,3.780795683,call,129,120
False,11/27/2004,Blue-collared Zipper,-129.483562563,3.79903125,call,49,61
False,11/10/2004,Blue-collared Zipper,-130.276882489,0.513000029,call,80,132
False,12/19/1991,Blue-collared Zipper,-114.40150611,4.862596669,call,92,121
False,9/4/1991,Blue-collared Zipper,-122.584856317,4.688718684,call,45,64
False,6/5/2000,Blue-collared Zipper,-124.611527533,4.920626158,call,45,65
False,6/5/2000,Blue-collared Zipper,-119.509772747,3.770638905,call,56,58
False,4/16/2003,Blue-collared Zipper,-121.377932256,3.9171825,call,47,63
False,4/19/1997,Blue-collared Zipper,-118.659483694,2.008097247,call,139,45
False,7/28/2000,Blue-collared Zipper,-115.471950137,5.466788762,call,67,156
False,2/14/2006,Blue-collared Zipper,-120.718981797,3.653577974,call,45,66
False,12/16/2014,Blue-collared Zipper,-130.709079398,5.227340163,call,50,63
False,11/16/2013,Blue-collared Zipper,-162.690419356,9.8578125,song,46,70
False,1/22/2014,Blue-collared Zipper,-138.210585894,5.995862518,call,46,65
False,2/21/2013,Blue-collared Zipper,-129.878221478,0.568185917,song,47,66
False,1/28/2013,Blue-collared Zipper,-129.176461148,5.118415577,call,45,65
False,10/4/2012,Blue-collared Zipper,-125.759521688,4.400574508,call,46,64
False,2/13/2012,Blue-collared Zipper,-129.160168249,4.419548191,song,50,56
False,10/30/2002,Blue-collared Zipper,-120.254178323,3.107305009,call,47,65
False,8/1/1997,Blue-collared Zipper,-140.195413391,4.70047609,call,46,35
False,10/3/2006,Blue-collared Zipper,-150.693138186,4.285293494,song,82,138
False,3/29/2005,Blue-collared Zipper,-122.731324428,3.340423206,song,31,58
False,11/2/2009,Blue-collared Zipper,-145.354388862,4.363842473,song,46,60
False,10/18/2008,Blue-collared Zipper,-135.567914501,3.868648256,song,50,59
False,2/25/2003,Blue-collared Zipper,-133.274534984,3.976309845,call,129,58
False,4/25/2016,Blue-collared Zipper,-120.669572919,5.625951984,call,45,65
False,3/11/2007,Blue-collared Zipper,-128.747856521,3.371546815,call,50,60
False,9/12/2005,Blue-collared Zipper,-126.526722905,3.409682751,call,53,61
False,1/5/2008,Blue-collared Zipper,-125.642523859,2.903292181,call,143,111
False,12/10/2013,Blue-collared Zipper,-138.57424071,6.583231952,call,47,62
False,12/16/2013,Blue-collared Zipper,-129.018088876,3.883985057,call,45,67
False,12/17/2007,Blue-collared Zipper,-118.422878109,0.52236,call,85,105
False,9/16/2011,Blue-collared Zipper,-125.25778314,4.47734942,song,125,116
False,2/13/2012,Blue-collared Zipper,-135.496381017,0.596251908,song,44,64
False,8/15/2007,Blue-collared Zipper,-110.645580858,0.776701323,call,49,57
False,4/8/2003,Blue-collared Zipper,-145.066510942,2.525208117,call,23,138
False,9/26/2006,Blue-collared Zipper,-118.412747673,0.517386345,call,48,63
False,10/8/2003,Blue-collared Zipper,-121.747147905,6.33385595,call,31,136
False,5/27/2016,Blue-collared Zipper,-116.90657831,5.128646305,call,95,141
False,10/23/2012,Blue-collared Zipper,-133.234984862,2.655279876,song,45,
True,7/3/2017,Bombadil,-133.487938889,2.190176828,"call, song",79,144
True,5/27/2017,Bombadil,-131.889733908,2.51880935,call,86,136
True,5/20/2017,Bombadil,-124.980208338,3.74730869,song,69,154
True,6/1/2017,Bombadil,-121.714346734,0.995071911,song,78,136
True,6/1/2017,Bombadil,-125.889851437,0.922642828,song,78,156
True,6/1/2017,Bombadil,-131.861985342,2.770147285,song,69,154
True,5/20/2017,Bombadil,-129.327840791,0.528835455,song,69,150
False,6/25/2016,Bombadil,-134.682399028,4.708838206,song,80,137
False,5/24/2016,Bombadil,-130.37638514,4.158385848,song,67,144
False,5/24/2016,Bombadil,-127.24318066,3.083309116,song,144,43
False,4/30/2016,Bombadil,-161.799500254,0.512855478,song,66,154
False,4/23/2016,Bombadil,-132.444022348,3.318164614,song,68,144
False,5/18/2012,Bombadil,-128.17501985,2.052003841,"call, song",71,143
False,5/18/2011,Bombadil,-132.106598381,2.779716308,song,74,133
False,5/29/2011,Bombadil,-128.966169533,2.61574927,song,78,156
False,5/18/2008,Bombadil,-118.059073585,3.486673196,song,58,165
False,5/26/2015,Bombadil,-130.689032345,4.12346847,song,77,135
False,6/13/2014,Bombadil,-73.430084409,4.156493041,song,66,154
False,6/6/2014,Bombadil,-130.488008747,2.832467974,song,70,160
False,6/6/2014,Bombadil,-130.852358951,2.831186397,song,58,86
False,6/6/2014,Bombadil,-128.861952428,2.710843314,song,57,154
False,6/6/2014,Bombadil,-78.388409359,3.089196039,song,66,135
False,6/6/2014,Bombadil,-75.890568987,2.933350935,song,70,140
False,5/25/2014,Bombadil,-125.101086717,2.355644556,call,69,155
False,5/28/2014,Bombadil,-185.240816541,1.000089168,song,85,145
False,5/14/2014,Bombadil,-135.320642611,2.699857145,"call, song",64,152
False,5/6/2014,Bombadil,-126.779648835,2.668276572,song,67,154
False,5/6/2014,Bombadil,-77.599282018,2.675969626,song,73,144
False,5/21/2013,Bombadil,-129.52704697,4.007786496,song,65,134
False,9/4/2013,Bombadil,-137.501169184,2.753640431,call,74,156
False,4/22/2012,Bombadil,-119.641053045,2.766591592,song,81,164
False,5/7/2010,Bombadil,-127.009620742,3.041904453,song,67,161
False,5/4/2010,Bombadil,-119.370371425,2.47078916,song,68,160
False,2/12/2007,Bombadil,-120.786455385,2.679647224,song,86,131
False,5/4/2010,Bombadil,-129.79437417,3.203839145,song,67,153
False,5/2/2010,Bombadil,-129.77459995,3.478059906,song,83,135
,,Bombadil,-128.261398179,3.352719727,song,71,138
,,Bombadil,-127.653535831,3.878022181,song,83,138
False,6/9/2007,Bombadil,-127.85765411,4.59638709,song,84,179
True,5/20/2017,Bombadil,-136.213715417,2.316041784,call,72,142
False,7/1/2016,Bombadil,-121.386174593,3.362770905,call,74,141
False,7/1/2016,Bombadil,-130.109702375,2.651278237,call,35,81
False,6/9/2015,Bombadil,-136.438752306,5.291820668,song,80,146
False,6/18/2016,Bombadil,-137.420374136,3.64982968,call,61,158
False,5/29/2016,Bombadil,-126.19372954,3.001554162,song,69,155
False,5/7/2016,Bombadil,-134.072500527,3.871874015,song,73,142
False,4/28/2016,Bombadil,-144.82945726,4.723612342,song,74,136
False,4/22/2016,Bombadil,-134.213376529,3.512937449,song,83,139
False,5/18/2012,Bombadil,-131.151896046,2.555183862,call,65,149
False,5/18/2011,Bombadil,-128.910065397,2.719595479,"call, song",77,140
False,5/18/2011,Bombadil,-133.781921402,2.634514823,"call, song",75,130
False,9/10/2015,Bombadil,-150.755034036,0.796053669,call,75,136
False,9/12/2015,Bombadil,-139.831345846,3.321166125,call,58,163
False,9/12/2015,Bombadil,-133.623763517,4.037806655,call,57,158
False,9/12/2015,Bombadil,-145.891769532,4.041142684,call,72,154
False,6/28/2015,Bombadil,-147.095287739,3.762871364,"call, song",67,153
False,5/26/2015,Bombadil,-124.774592831,3.913088079,song,74,165
False,4/26/2015,Bombadil,-158.27654997,0.71029194,song,68,163
False,7/18/2014,Bombadil,-127.387462408,3.016742437,call,84,152
False,6/6/2014,Bombadil,-112.70655173,3.318159882,song,70,155
False,6/6/2014,Bombadil,-129.661569597,4.991327933,"call, song",89,158
False,6/6/2014,Bombadil,-139.21315788,4.127067187,song,82,148
False,5/24/2014,Bombadil,-126.703884647,2.615175762,call,72,154
False,5/24/2014,Bombadil,-125.961595299,2.726215278,song,61,163
False,5/24/2014,Bombadil,-127.610254381,2.390529245,call,73,152
False,6/21/2013,Bombadil,-123.56205953,5.981831701,song,67,156
False,7/23/2013,Bombadil,-129.216536424,4.073995102,call,72,140
False,6/10/2013,Bombadil,-137.323940004,2.748806257,song,71,156
False,5/10/2012,Bombadil,-139.034545058,2.847397319,song,75,143
False,5/10/2012,Bombadil,-137.379308155,2.697579573,song,104,131
False,4/22/2012,Bombadil,-120.894041139,2.98144579,song,68,152
False,4/22/2012,Bombadil,-119.760109597,2.739234731,song,75,149
False,4/22/2012,Bombadil,-130.113239008,2.649497579,song,71,151
False,8/8/2011,Bombadil,-119.238251253,3.04573624,call,79,147
False,5/23/2010,Bombadil,-128.847428249,3.960262642,song,68,154
False,3/15/2006,Bombadil,-116.67086056,4.993083154,song,71,162
False,3/16/2007,Bombadil,-107.399857263,4.223921488,song,70,144
False,3/15/2006,Bombadil,-123.49647241,2.512672504,song,68,155
False,3/15/2006,Bombadil,-120.165656937,2.519894895,song,70,166
False,3/11/2005,Bombadil,-124.468707066,6.7900032,song,75,135
False,3/27/2005,Bombadil,-117.951527524,2.767357336,song,72,140
False,3/10/2006,Bombadil,-121.188071724,2.72291478,song,89,138
False,3/15/2006,Bombadil,-114.506156282,2.80026729,song,48,56
False,2/12/2007,Bombadil,-110.374487402,2.615615149,song,66,170
False,3/18/2006,Bombadil,-117.084483671,2.586209672,song,69,165
False,3/15/2006,Bombadil,-116.585880097,2.086069168,song,91,140
False,3/15/2006,Bombadil,-117.878904579,2.552918855,song,74,139
False,3/10/2005,Bombadil,-126.943497025,2.790589412,song,80,145
False,3/15/2006,Bombadil,-119.4717741,3.608851653,song,61,134
False,3/14/2006,Bombadil,-119.322253724,4.256600015,song,76,172
False,3/15/2006,Bombadil,-127.21341026,3.090917813,song,72,148
False,3/15/2006,Bombadil,-119.749991371,2.608166577,song,72,155
False,3/15/2006,Bombadil,-120.265121376,2.657855984,song,72,149
False,2/12/2007,Bombadil,-122.753853352,2.542190358,song,60,119
False,3/15/2006,Bombadil,-128.960386151,3.320820903,song,73,141
False,3/10/2006,Bombadil,-114.577083224,3.229273785,song,48,57
False,3/15/2006,Bombadil,-124.619134893,2.765920058,song,81,139
False,3/10/2006,Bombadil,-128.272100521,3.070353052,song,136,125
False,2/12/2007,Bombadil,-122.048918009,3.878747676,song,90,111
,,Bombadil,-135.625530538,2.611155305,song,65,142
False,6/19/2008,Bombadil,-125.899379029,3.029663086,call,84,139
False,6/19/2008,Bombadil,-125.281888747,3.070032774,call,78,137
False,6/13/2008,Bombadil,-123.25849814,3.099024923,song,82,138
False,6/13/2008,Bombadil,-127.783286345,3.04054908,"call, song",69,152
False,6/13/2008,Bombadil,-129.977507813,3.853366006,song,74,134
False,5/29/2008,Bombadil,-115.742438515,4.532138617,song,74,141
False,5/29/2008,Bombadil,-121.348997595,2.833766297,song,71,156
False,6/3/2007,Bombadil,-126.557176233,2.653148379,song,75,98
False,4/29/2003,Bombadil,-119.080723942,3.354196398,song,84,142
False,6/25/2015,Bombadil,-151.892468678,3.651583333,song,72,165
False,7/1/2016,Bombadil,-135.565691987,2.755636505,call,92,134
False,5/29/2015,Bombadil,-147.25424506,2.611116348,song,73,158
False,5/17/2016,Bombadil,-134.46699608,0.551328284,call,73,140
False,4/24/2016,Bombadil,-127.495874766,6.006490131,call,69,147
False,5/18/2012,Bombadil,-77.058828643,3.091113252,"call, song",70,130
False,5/18/2011,Bombadil,-130.709740686,1.646028772,call,73,141
False,5/28/2014,Bombadil,-166.873099384,1.000733603,song,72,138
False,6/9/2013,Bombadil,-138.644076907,4.187693586,song,81,129
